1392685764;Токио;Япония;35.6897;139.6922
1360771077;Джакарта;Индонезия;-6.2146;106.8451
1356872604;Дели;Индия;28.66;77.23
1356226629;Мумбаи;Индия;18.9667;72.8333
1608618140;Манила;Филиппины;14.6;120.9833
1156073548;Шанхай;Китай;31.1667;121.4667
1076532519;Сан-Паулу;Бразилия;-23.5504;-46.6339
1410836482;Сеул;Южная Корея;37.56;126.99
1484247881;Мехико;Мексика;19.4333;-99.1333
1156237133;Гуанчжоу;Китай;23.1288;113.259
1156228865;Пекин;Китай;39.905;116.3914
1818253931;Каир;Египет;30.0561;31.2394
1840034016;Нью-Йорк;США;40.6943;-73.9249
1356060520;Калькутта;Индия;22.5411;88.3378
1643318494;Москва;Россия;55.7558;37.6178
1764068610;Бангкок;Таиланд;13.75;100.5167
1032717330;Буэнос-Айрес;Аргентина;-34.5997;-58.3819
1156158707;Шэньчжэнь;Китай;22.535;114.054
1050529279;Дакка;Бангладеш;23.7289;90.3944
1566593751;Лагос;Нигерия;6.45;3.4
1792756324;Стамбул;Турция;41.01;28.9603
1392419823;Осака;Япония;34.75;135.4601
1586129469;Карачи;Пакистан;24.86;67.01
1356410365;Бангалор;Индия;12.9699;77.598
1364305026;Тегеран;Иран;35.7;51.4167
1180000363;Киншаса;Конго (Киншаса);-4.3233;15.3081
1704774326;Хошимин;Вьетнам;10.8167;106.6333
1840020491;Лос-Анджелес;США;34.1139;-118.4068
1076887657;Рио-де-Жанейро;Бразилия;-22.9083;-43.1964
1156192287;Наньян;Китай;32.9987;112.5292
1156256829;Баодин;Китай;38.8671;115.4845
1356374944;Ченнаи;Индия;13.0825;80.275
1156421555;Чэнду;Китай;30.66;104.0633
1586801463;Лахор;Пакистан;31.5497;74.3436
1250015082;Париж;Франция;48.8566;2.3522
1826645935;Лондон;Великобритания;51.5072;-0.1275
1156086320;Линьи;Китай;35.0606;118.3425
1156174046;Тяньцзинь;Китай;39.1467;117.2056
1156217541;Шицзячжуан;Китай;38.0422;114.5086
1156272098;Чжоукоу;Китай;33.625;114.6418
1604728603;Лима;Перу;-12.05;-77.0333
1356871768;Хайдарабад;Индия;17.3667;78.4667
1156957080;Ханьдань;Китай;36.6116;114.4894
1170483426;Богота;Колумбия;4.6126;-74.0705
1156912965;Вэйфан;Китай;36.7167;119.1
1392407472;Нагоя;Япония;35.1167;136.9333
1156117184;Ухань;Китай;30.5872;114.2881
1156225008;Хэцзэ;Китай;35.2333;115.4333
1156832475;Ганьчжоу;Китай;25.8292;114.9336
1156241678;Туншань;Китай;34.261;117.1859
1840000494;Чикаго;США;41.8373;-87.6862
1024949724;Луанда;Ангола;-8.8383;13.2344
1156961497;Чанша;Китай;28.1987;112.9709
1156248008;Фуян;Китай;32.8986;115.8045
1458988644;Куала-Лумпур;Малайзия;3.1478;101.6953
1156504601;Цзинин;Китай;35.4;116.5667
1156478242;Дунгуань;Китай;23.0475;113.7493
1156972469;Цзинань;Китай;36.6667;116.9833
1156738403;Фошань;Китай;23.0292;113.1056
1704413791;Ханой;Вьетнам;21.0245;105.8412
